Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Рассказчик (ЭДЕ)
00:01:00.070	00:01:03.324	00:00:03.254	Я попросила моего мл= || молодого человека приехать с Копейска,
00:01:03.325	00:01:05.980	00:00:02.655	чтобы он ...(0.2) привёз эту карту |E| ...(0.9)
00:01:05.980	00:01:07.818	00:00:01.838	Пока я его ждала, ...(1.0)
00:01:07.820	00:01:10.303	00:00:02.483	а(0.2) я решила сесть на диван
00:01:10.305	00:01:11.460	00:00:01.155	подождать. ...(1.0)
00:01:11.468	00:01:13.532	00:00:02.064	И решила посмотреть на их платья |E|
00:01:13.539	00:01:15.019	00:00:01.480	в каком у них состоянии платья.
00:01:15.026	00:01:15.629	00:00:00.603	Посмотрела,
00:01:15.636	00:01:17.136	00:00:01.500	а там тоже всё в волосне |S|
00:01:17.143	00:01:19.247	00:00:02.104	Подношу к ней это платье,
00:01:19.247	00:01:20.799	00:00:01.552	она говорит,
00:01:20.812	00:01:25.240	00:00:04.428	«Ну от нашего платья хотябы не пахнет пирожками».
00:01:25.247	00:01:26.818	00:00:01.571	Я вообще в ступоре
00:01:26.825	00:01:27.669	00:00:00.844	говорю,
00:01:27.675	00:01:29.416	00:00:01.741	«Девушка, почему вы мне грубите?»
00:01:29.416	00:01:29.864	00:00:00.448	Она говорит,
00:01:29.883	00:01:31.844	00:00:01.961	«Я вам не грублю»
00:01:31.857	00:01:32.481	00:00:00.624	Вот.
00:01:32.487	00:01:33.416	00:00:00.929	А(0.3) она считает,
00:01:33.422	00:01:34.591	00:00:01.169	то что если она говорит тихо,
00:01:34.597	00:01:35.025	00:00:00.428	это значит,
00:01:35.032	00:01:36.214	00:00:01.182	что она не грубит.
00:01:36.214	00:01:38.045	00:00:01.831	Вот ...(0.3) вся история
00:01:39.201	00:01:40.915	00:00:01.714	А какого цвета было платье?
00:01:40.922	00:01:41.422	00:00:00.500	Чёрное.
00:01:41.448	00:01:42.305	00:00:00.857	Чёрное. 
00:01:42.318	00:01:44.798	00:00:02.480	А(0.4) так  второй вопрос,
00:01:44.805	00:01:48.798	00:00:03.993	А в каком районе Челябинска да? |E|
00:01:48.805	00:01:50.240	00:00:01.435	В Челябинске же это происходило?
00:01:51.721	00:01:52.468	00:00:00.747	В Калининском.
00:01:52.468	00:01:54.214	00:00:01.746	В Калиниском районе угу.
00:01:54.779	00:01:56.448	00:00:01.669	И-и последний вопрос,
00:01:56.448	00:01:58.786	00:00:02.338	сколько а(0.1) стоило платье?
00:01:58.792	00:02:01.695	00:00:02.903	...(0.7) Тысяча семьсот.

